0,-0.3722734,0.142504,-0.324184,0.8579102
6,-0.3587126,0.144209,-0.3771423,0.8416045
10,-0.3415639,0.1605063,-0.4328856,0.8186451
15,-0.3206738,0.177384,-0.465937,0.805359
23,-0.3015327,0.1984936,-0.4950376,0.7903228
31,-0.2772246,0.216747,-0.5280343,0.7728772
42,-0.2585382,0.2225246,-0.588826,0.7327495
50,-0.2678643,0.2134693,-0.6008495,0.7222599
59,-0.2827663,0.2052445,-0.6007422,0.7190457
70,-0.3020655,0.2153982,-0.5885962,0.718272
76,-0.3053066,0.2182005,-0.5765375,0.7257966
86,-0.3032833,0.2101894,-0.5813789,0.7251471
100,-0.2955733,0.2025046,-0.5822509,0.7298032
